Date,Vendor Name,Country,Product,Gross Bookings,Fees
1/1/2015,Vendor A,Country 34,Product 2,30.63,2.57
1/1/2015,Vendor A,Country 37,Product 2,57.85,4.86
1/1/2015,Vendor A,Country 50,Product 4,36220.71,2093.33
1/1/2015,Vendor A,Country 3,Product 8,35.44,0.57
1/1/2015,Vendor A,Country 37,Product 10,5.92,0.49
1/1/2015,Vendor A,Country 31,Product 3,133.5,3.64
1/1/2015,Vendor F,Country 2,Product 4,7919930.3,242451.23
1/1/2015,Vendor F,Country 2,Product 6, $-   ,160.94
1/1/2015,Vendor D,Country 2,Product 2,345462.23,15542.38
1/1/2015,Vendor D,Country 2,Product 16, $-   ,9709.01
1/1/2015,Vendor B,Country 1,Product 6,35411.74,991.52
1/1/2015,Vendor B,Country 37,Product 6,3523.54,102.18
1/1/2015,Vendor G,Country 19,Product 17,176277.94,2217.48
1/1/2015,Vendor C,Country 2,Product 7,4211258.19,80937.77
1/1/2015,Vendor C,Country 9,Product 7,14.42,0.27
1/1/2015,Vendor C,Country 56,Product 7,120.59,2.25
1/1/2015,Vendor A,Country 7,Product 2,999.16,111.65
1/1/2015,Vendor A,Country 40,Product 9,382277.44,24780.72
1/1/2015,Vendor A,Country 37,Product 4,18290.77,1019.59
1/1/2015,Vendor A,Country 43,Product 9,20815.71,480.66
1/1/2015,Vendor A,Country 41,Product 4,545.19,19.14
1/1/2015,Vendor A,Country 29,Product 2,124.74,11.09
1/1/2015,Vendor A,Country 49,Product 4,8819.68,482.08
1/1/2015,Vendor A,Country 19,Product 9,11346.35,982.32
1/1/2015,Vendor A,Country 36,Product 4,4035.04,420.37
1/1/2015,Vendor A,Country 46,Product 9,882.05,49.83
1/1/2015,Vendor A,Country 44,Product 4,11826.24,792.84
1/1/2015,Vendor A,Country 10,Product 10,122.47,10.29
1/1/2015,Vendor A,Country 11,Product 2,124.63,10.49
1/1/2015,Vendor A,Country 9,Product 10,24.73,2.08
2/1/2015,Vendor A,Country 19,Product 2,246.42,20.89
2/1/2015,Vendor A,Country 11,Product 3,36.79,0.89
2/1/2015,Vendor A,Country 7,Product 10,159.91,13.44
2/1/2015,Vendor A,Country 38,Product 12,7.88,0.68
2/1/2015,Vendor A,Country 2,Product 14,252.69,15.93
2/1/2015,Vendor A,Country 18,Product 4,428816.04,28967.23
2/1/2015,Vendor A,Country 42,Product 2,0,0.34
2/1/2015,Vendor B,Country 54,Product 6,491130.49,14289.63
2/1/2015,Vendor B,Country 33,Product 6,992.56,28.05
2/1/2015,Vendor B,Country 52,Product 6,5561.74,160.71
2/1/2015,Vendor B,Country 45,Product 6,823.27,22.02
2/1/2015,Vendor B,Country 10,Product 6,30370.11,850.26
2/1/2015,Vendor B,Country 2,Product 6,22749990.09,6135380.5
