Date,Vendor Name,Country,Product, Gross Bookings , Fees ,Fees/ Gross Bookings,,,Total Cell Range:,7911
1/1/2015,Vendor A,Country 1,Product 1,63.34,0.94,0.014840543,,,Unevaluated expression count:,272
1/1/2015,Vendor A,Country 2,Product 2,39295.41,2169.53,0.055210774,,,Total unevaluted expression percentage:,3%
1/1/2015,Vendor A,Country 3,Product 3,127.25,3.44,0.027033399,,,,
1/1/2015,Vendor A,Country 4,Product 1,4.85,0.11,0.022680412,,,,
1/1/2015,Vendor A,Country 5,Product 4,4734.94,171.13,0.036141957,,,,
1/1/2015,Vendor A,Country 6,Product 2,60.74,5.1,0.083964439,,,,
1/1/2015,Vendor A,Country 7,Product 5,-90.74,40.06,-0.441481155,,,,
1/1/2015,Vendor A,Country 8,Product 2,1460.8,844.88,0.578368018,,,,
1/1/2015,Vendor B,Country 7,Product 6,381472.45,10681.23,0.028000004,,,,
1/1/2015,Vendor B,Country 6,Product 6,13765.36,385.44,0.028000721,,,,
1/1/2015,Vendor B,Country 9,Product 6,848.17,23.89,0.028166523,,,,
1/1/2015,Vendor B,Country 10,Product 6,30663.32,858.5,0.027997621,,,,
1/1/2015,Vendor C,Country 6,Product 7,31862.03,591.58,0.018566927,,,,
1/1/2015,Vendor A,Country 5,Product 3,19.34,0.41,0.021199586,,,,
1/1/2015,Vendor A,Country 7,Product 8,437.01,70.89,0.162215968,,,,
1/1/2015,Vendor A,Country 9,Product 9,4723.55,188.87,0.039984757,,,,
1/1/2015,Vendor A,Country 11,Product 4,26643.05,1721.69,0.064620605,,,,
